user_id,conversion_type,value,time_to_convert
6987,Signup,91.79,522
842,Purchase,58.51,715
9990,Purchase,49.58,1139
850,Signup,89.89,94
8614,Purchase,27.02,1106
793,Purchase,66.87,912
7649,Purchase,25.31,588
4791,Purchase,59.41,80
7467,Purchase,95.14,668
83,AddToCart,61.91,817
1978,AddToCart,88.64,131
8541,Signup,35.8,533
3346,Signup,60.69,960
8625,Signup,81.92,369
6049,Purchase,29.76,1200
4591,Signup,23.36,688
6043,Purchase,82.33,529
225,Purchase,83.82,961
1494,AddToCart,78.25,125
8807,Purchase,62.78,329
5233,Purchase,13.52,1254
58,Purchase,66.5,1062
1627,AddToCart,53.78,989
302,AddToCart,79.24,1079
9884,Purchase,40.27,624
6640,Purchase,73.94,1155
5180,Purchase,21.74,887
5256,Purchase,28.52,149
5162,AddToCart,62.76,928
499,AddToCart,28.02,635
8233,Signup,97.32,867
80,Signup,67.0,81
4604,Purchase,81.93,228
7079,Purchase,68.19,1210
5192,AddToCart,84.6,147
3717,Signup,57.61,681
5963,Purchase,66.87,1029
2285,Purchase,74.61,1436
921,AddToCart,75.4,1116
8130,Signup,81.92,35
4916,AddToCart,25.49,1421
2675,Signup,49.2,300
978,Signup,80.78,1210
9277,Purchase,17.43,530
9079,Signup,85.85,979
9073,AddToCart,87.0,117
949,AddToCart,36.14,1097
5713,Purchase,82.94,1058
2882,Signup,87.6,1324
4222,AddToCart,87.86,648
132,AddToCart,30.1,1059
6595,Signup,46.85,462
9066,Purchase,8.93,645
4636,AddToCart,38.88,685
4124,Signup,52.55,813
5617,Purchase,94.85,770
4494,AddToCart,46.41,427
9885,Signup,8.83,1400
8263,AddToCart,24.1,225
4659,Purchase,94.73,453
9978,Purchase,16.92,1295
1595,AddToCart,70.35,135
5455,AddToCart,35.83,805
7542,AddToCart,76.05,431
2766,AddToCart,98.04,1393
728,AddToCart,73.03,565
3545,Signup,91.09,1042
7641,Signup,11.15,1242
915,Purchase,43.57,1144
2329,AddToCart,64.41,1156
7010,Purchase,51.52,1249
1541,Signup,56.61,29
9289,Purchase,84.54,727
6573,Signup,76.16,934
8637,Signup,58.48,214
7402,Purchase,93.08,428
8929,Signup,9.59,1191
2809,Purchase,87.93,634
7811,Signup,9.78,737
1620,Purchase,68.34,230
5608,AddToCart,41.02,1281
2935,Purchase,94.21,995
1503,Signup,48.18,850
1210,Signup,20.22,719
9874,Signup,67.86,1225
8463,AddToCart,64.08,475
1133,AddToCart,45.93,1425
7819,AddToCart,62.01,1097
2317,AddToCart,83.5,44
6236,Signup,90.89,1019
9174,AddToCart,85.74,1380
8601,AddToCart,65.0,252
745,Purchase,66.66,491
5168,Purchase,94.27,1199
979,AddToCart,11.39,1240
1744,AddToCart,88.24,497
4576,Purchase,62.94,819
9694,Purchase,80.32,1235
1808,AddToCart,30.71,1051
6143,AddToCart,39.67,773
1068,AddToCart,9.17,1437
1707,AddToCart,80.18,110
6947,Purchase,28.72,1025
8704,Signup,10.58,368
2117,AddToCart,60.47,1289
9627,AddToCart,74.56,1092
9541,AddToCart,54.04,1182
2833,Purchase,37.83,974
6750,AddToCart,48.96,1388
2281,AddToCart,60.96,303
2567,AddToCart,75.46,1213
7459,AddToCart,83.94,840
9409,AddToCart,97.93,1394
606,Purchase,73.81,929
7648,AddToCart,69.34,467
4540,Signup,20.27,942
8716,Signup,48.8,331
5078,Purchase,93.38,1087
3070,Signup,35.15,862
574,AddToCart,75.59,542
9916,Signup,85.44,255
8884,AddToCart,45.24,1229
2069,Purchase,98.63,1401
4985,Signup,12.88,1034
7537,Purchase,28.52,426
1984,Purchase,56.68,326
8219,Purchase,28.17,764
2593,Purchase,78.45,931
5597,Signup,39.67,1139
3673,Purchase,22.21,798
9654,Purchase,66.6,1000
7656,Purchase,32.57,654
7888,Purchase,72.38,619
4084,AddToCart,19.55,869
223,Signup,96.16,633
8699,AddToCart,72.69,1278
8368,AddToCart,39.65,463
3270,AddToCart,52.25,1406
7793,Signup,99.54,142
8154,AddToCart,64.31,1116
1121,Signup,79.89,31
7255,Purchase,85.94,430
6512,Signup,97.22,881
6939,Purchase,31.82,651
357,Signup,65.51,1035
5085,Signup,65.88,39
1558,Purchase,81.14,1202
8757,Signup,97.9,10
1868,Purchase,87.39,5
9507,AddToCart,66.1,53
8009,Signup,49.37,205
424,Signup,9.17,1308
4620,Purchase,31.0,710
2147,Purchase,65.58,693
7657,AddToCart,68.48,44
5291,Purchase,97.42,443
1695,AddToCart,85.12,767
4397,Purchase,85.24,48
7398,Purchase,58.02,574
6493,Signup,6.24,1326
9301,Signup,74.16,513
3516,Signup,29.02,798
9657,AddToCart,43.74,1303
7108,Signup,41.25,1142
3751,Signup,59.73,1354
700,Signup,22.78,429
1976,Purchase,5.48,829
4174,Purchase,19.23,1118
6491,AddToCart,50.71,965
202,Signup,90.53,1193
9665,AddToCart,16.39,1046
5718,AddToCart,75.27,1216
3883,Signup,79.6,1252
8764,Purchase,15.07,1423
5805,Purchase,71.2,1334
8633,AddToCart,6.69,65
1712,Purchase,16.11,406
7034,Signup,94.12,552
6641,Purchase,25.6,1100
6941,Purchase,85.95,1334
4572,Signup,34.13,786
6339,Purchase,18.2,591
6172,Signup,54.15,1227
6743,Purchase,17.12,1042
6504,Purchase,21.97,41
1314,AddToCart,71.77,1160
5919,Signup,82.3,603
4909,AddToCart,44.61,797
9097,Purchase,30.18,271
1915,Purchase,56.56,644
6833,Purchase,99.77,970
1089,Signup,10.42,1402
5981,AddToCart,54.97,8
6003,AddToCart,31.5,1064
6029,AddToCart,61.76,1240
887,Signup,99.31,175
893,Purchase,40.48,239
6808,Purchase,35.74,743
2333,Signup,13.56,1097
3633,Purchase,36.88,90
5408,Purchase,75.62,1236
6030,Purchase,14.3,922
8286,AddToCart,19.5,413
388,Purchase,32.64,876
1815,Purchase,13.55,1056
8444,Signup,26.06,1259
2553,AddToCart,72.73,409
2676,AddToCart,61.88,1091
3489,AddToCart,75.95,606
3237,AddToCart,12.39,230
4141,Purchase,72.07,132
7037,Signup,21.87,21
3973,Signup,75.35,45
440,Purchase,12.24,483
915,AddToCart,93.26,473
3760,AddToCart,82.56,1069
4552,AddToCart,16.07,1106
280,Signup,82.15,591
2631,AddToCart,7.18,494
6092,Purchase,59.55,1416
4673,Signup,90.67,585
891,Signup,11.77,330
3231,Signup,44.51,79
7305,Signup,83.3,1074
5476,AddToCart,29.85,953
5735,Signup,16.88,962
6905,AddToCart,31.78,871
6978,AddToCart,31.8,1310
8603,AddToCart,42.08,79
967,Signup,43.09,354
8669,Purchase,58.97,1253
2429,Purchase,50.32,1422
1688,Purchase,67.52,245
3134,Purchase,28.95,428
2828,Signup,60.95,481
6284,Signup,21.11,686
359,Signup,52.58,224
967,AddToCart,6.58,1131
746,AddToCart,20.75,1308
2915,Purchase,77.37,198
1442,Signup,50.79,1004
6367,Purchase,14.58,218
344,AddToCart,72.48,403
7086,Purchase,84.87,688
8061,Purchase,36.09,112
8232,AddToCart,90.62,415
7053,Purchase,58.88,612
867,Purchase,17.07,1426
1293,Signup,17.62,72
2171,Purchase,34.86,1424
2915,Purchase,25.44,1230
5865,Signup,68.45,263
8463,AddToCart,13.22,1151
8805,Purchase,14.15,218
9458,Purchase,49.39,144
5671,Purchase,8.82,286
354,AddToCart,28.89,92
514,Purchase,13.83,272
1981,Signup,25.28,240
8202,AddToCart,36.22,850
2426,Purchase,12.36,1145
1362,Purchase,36.4,1362
2968,AddToCart,23.47,270
8945,Purchase,91.66,753
9353,Signup,89.36,1025
9481,Purchase,46.16,1337
7241,AddToCart,7.0,463
4807,Signup,14.18,1269
1778,AddToCart,64.97,1432
3740,Signup,54.58,334
5729,Signup,53.86,1260
1076,Purchase,46.67,1337
7975,Signup,80.5,837
8893,Signup,22.12,877
7974,Purchase,99.91,450
8969,Signup,76.33,710
3829,AddToCart,93.12,908
8719,Signup,24.44,364
7710,AddToCart,28.93,1363
5550,AddToCart,23.42,979
5237,AddToCart,75.34,1205
750,Purchase,41.63,392
4580,Purchase,14.05,1400
9764,AddToCart,70.19,56
2631,Signup,11.57,444
6651,Signup,60.58,661
6358,AddToCart,93.8,1130
7660,Purchase,61.02,303
8077,Signup,16.18,503
9893,Signup,47.27,1205
7867,Signup,18.66,239
1184,Purchase,42.5,66
4696,AddToCart,30.4,803
2732,Purchase,42.18,171
745,AddToCart,64.82,709
8253,AddToCart,52.77,1018
4195,Purchase,17.69,96
9369,Signup,79.51,528
6382,AddToCart,46.87,314
5887,AddToCart,69.57,161
8722,Purchase,54.76,393
4113,Purchase,89.81,1302
9532,Signup,5.81,293
3287,Purchase,72.69,985
1824,Purchase,86.28,1127
3699,AddToCart,92.2,861
6651,Signup,59.32,4
454,Purchase,58.37,437
1991,AddToCart,42.42,1295
1579,Signup,67.58,1035
3284,AddToCart,79.18,82
236,Signup,17.26,635
4050,Signup,91.25,225
213,Signup,39.06,1232
4815,Purchase,79.8,916
6927,Signup,40.15,1132
5012,Purchase,21.06,1198
5975,Signup,43.29,632
767,AddToCart,61.58,1407
9386,Signup,85.74,442
3986,Purchase,62.46,222
7604,Purchase,18.08,10
3205,AddToCart,62.9,650
6699,AddToCart,62.11,42
9975,AddToCart,28.82,835
4181,Purchase,69.07,1294
4895,Signup,88.17,781
6161,Signup,54.84,718
1495,Signup,11.88,855
7694,Purchase,16.41,1279
1928,Purchase,73.18,780
9002,Signup,86.69,120
4862,Signup,82.26,940
2477,Purchase,53.19,471
6510,Signup,96.07,469
6063,AddToCart,11.1,45
8247,AddToCart,49.86,884
6647,AddToCart,55.66,414
7069,AddToCart,9.72,687
959,Signup,99.79,1229
4258,Signup,44.05,1081
4274,Purchase,81.13,819
8687,Signup,47.88,413
9826,Signup,84.99,299
9869,AddToCart,90.18,297
1599,AddToCart,36.45,1061
2782,Purchase,26.58,865
515,Purchase,31.73,1154
8543,Signup,48.15,136
3239,AddToCart,77.76,1425
2272,Signup,15.5,535
9733,AddToCart,57.56,1389
5307,AddToCart,35.71,726
5333,AddToCart,84.82,1225
6927,AddToCart,26.31,1278
2947,Signup,78.65,528
1697,Signup,9.79,1278
7445,AddToCart,42.65,1345
7955,Signup,31.12,743
9971,Purchase,60.95,82
52,Signup,80.36,578
9317,Purchase,96.36,757
3145,AddToCart,18.36,195
688,Signup,27.84,1044
6891,Purchase,19.54,508
5609,AddToCart,39.18,1034
2829,Signup,33.99,1378
8786,Signup,83.77,1325
7050,AddToCart,65.07,333
8445,Signup,38.96,389
1231,Signup,32.14,447
7797,Purchase,83.91,530
1568,Purchase,47.81,1304
4084,Signup,37.65,21
5757,Purchase,22.44,314
5031,AddToCart,32.2,1124
6540,Purchase,67.03,431
1444,Signup,51.82,172
7650,Signup,78.2,125
8253,Signup,88.36,573
3449,AddToCart,20.78,229
2957,AddToCart,59.86,1351
9127,Purchase,23.24,571
8741,Signup,78.83,214
3274,Signup,78.29,27
1185,Purchase,14.51,1189
4511,AddToCart,11.86,226
7824,AddToCart,46.98,103
7702,Purchase,93.26,1349
260,Purchase,70.54,75
4280,Signup,20.63,1379
6065,Signup,76.81,1251
1433,AddToCart,32.39,544
9253,Signup,69.07,855
3896,AddToCart,90.64,1353
3895,Signup,98.95,1370
3100,Signup,76.35,839
3540,Purchase,84.74,91
513,Purchase,11.36,6
9941,AddToCart,63.88,961
7208,Purchase,85.18,831
7677,AddToCart,78.42,81
9875,Signup,33.1,974
8294,Purchase,46.71,744
2189,AddToCart,58.5,113
2104,Signup,6.66,1292
7842,Signup,97.76,236
7341,Purchase,13.62,137
3457,Signup,16.92,225
2622,AddToCart,64.55,98
6324,Signup,13.61,10
1084,Purchase,84.84,444
7791,Signup,47.22,1104
4665,AddToCart,11.1,6
900,AddToCart,33.8,705
2462,Signup,78.65,119
9570,Purchase,14.31,1014
1013,Purchase,45.12,653
1821,Purchase,57.12,1010
6058,Purchase,26.34,608
1889,Signup,58.26,262
5158,Purchase,63.96,578
8833,Signup,76.86,811
7437,Purchase,59.42,19
6538,AddToCart,58.76,464
5801,AddToCart,10.29,1407
2546,AddToCart,25.46,1209
9986,Signup,80.72,62
2433,Purchase,98.3,943
2559,AddToCart,76.2,1208
8813,AddToCart,68.5,139
8192,Purchase,43.15,1237
3837,Purchase,68.94,413
4628,Purchase,83.84,573
2394,Signup,79.2,1136
5593,Purchase,29.98,608
1939,Purchase,61.52,368
4543,Signup,75.61,1016
2832,Purchase,50.92,778
1579,AddToCart,26.66,749
2689,AddToCart,52.06,1223
7065,Purchase,95.32,1236
6394,AddToCart,52.57,849
4978,AddToCart,77.14,972
8288,Purchase,15.14,1266
541,Signup,9.86,282
9695,Signup,48.43,1311
3284,Signup,22.15,999
7850,Signup,95.5,1085
6195,AddToCart,44.97,523
4657,AddToCart,26.84,1234
1761,Signup,25.59,1331
9975,Signup,59.74,1260
1867,Purchase,53.45,1141
6874,Signup,9.69,920
2574,Purchase,74.65,256
9988,AddToCart,95.17,1105
5181,Purchase,33.55,1401
9783,AddToCart,42.96,1241
5407,Purchase,87.6,1371
9178,Signup,53.38,1227
3690,Purchase,80.13,1250
9285,Signup,39.81,803
9417,Signup,64.97,211
4666,Signup,27.04,385
506,Signup,26.15,295
7288,Signup,52.96,328
2538,Signup,31.71,1008
9831,Signup,49.72,677
8016,Signup,71.86,1059
53,AddToCart,70.89,375
5288,Purchase,48.48,345
8245,Signup,70.71,1224
4743,Purchase,12.12,416
8011,Purchase,43.23,265
1999,AddToCart,26.61,1329
9628,AddToCart,23.02,1222
497,Signup,42.88,1347
1784,Signup,70.24,1171
8716,Signup,21.4,1385
407,Signup,80.0,1109
6856,AddToCart,21.18,985
2340,Signup,23.85,608
7615,Purchase,40.34,5
5953,Purchase,77.21,1294
377,Purchase,42.21,1125
5458,AddToCart,49.9,1068
5129,Purchase,63.37,1050
3278,Signup,31.77,527
3638,AddToCart,75.54,764
8561,Purchase,35.48,86
7279,AddToCart,22.58,584
8471,Purchase,32.35,721
2401,Purchase,96.31,33
4772,AddToCart,40.02,1058
393,Signup,70.48,362
3561,AddToCart,55.15,1028
825,Purchase,94.27,42
1163,Signup,86.61,923
1770,AddToCart,17.52,601
9039,Signup,65.6,45
8450,Signup,75.33,888
4854,AddToCart,88.49,1190
5773,Purchase,37.55,359
2809,Purchase,69.8,1226
2631,AddToCart,29.37,948
4213,Signup,88.03,237
9088,Purchase,47.63,920
3061,Signup,25.36,1027
2837,AddToCart,99.8,234
5111,AddToCart,44.43,969
9977,AddToCart,55.35,225
2261,AddToCart,83.44,491
7828,Signup,53.9,871
7120,Purchase,98.6,1267
5028,Signup,5.94,1402
8219,Purchase,64.26,450
903,Purchase,42.13,961
5141,AddToCart,26.52,711
5355,Signup,74.17,1115
40,Purchase,91.34,932
703,Purchase,54.1,1400
7382,AddToCart,91.19,813
6907,Purchase,86.98,17
2469,AddToCart,45.65,1173
8099,Signup,76.38,1380
3807,Signup,43.26,965
4261,Signup,31.88,895
7520,AddToCart,87.78,402
9841,AddToCart,19.8,1233
5148,Purchase,74.56,1102
3072,Purchase,8.86,1044
3031,Purchase,99.54,33
7186,Purchase,22.85,1308
4470,Purchase,37.7,114
5825,AddToCart,58.72,1333
5416,Purchase,88.1,895
7134,Purchase,64.98,874
9123,Signup,20.95,331
6355,AddToCart,82.86,1385
1642,Purchase,33.29,875
9480,Signup,46.19,810
5819,Signup,51.16,1062
547,AddToCart,58.63,926
9206,AddToCart,56.93,1189
826,AddToCart,43.3,274
5623,Purchase,29.7,616
5933,Purchase,26.71,942
2454,Purchase,44.59,400
9434,Purchase,92.48,1056
9397,AddToCart,31.25,806
5199,Purchase,19.74,1205
2051,Purchase,9.12,893
8680,Purchase,10.89,551
9770,AddToCart,20.52,207
9678,AddToCart,37.14,195
4807,Purchase,81.91,640
3501,AddToCart,48.23,1064
8739,AddToCart,78.88,1435
6227,AddToCart,16.62,750
378,Signup,15.43,709
1793,Signup,57.39,1194
8851,AddToCart,22.5,242
6438,Purchase,20.46,523
8629,Signup,63.47,1391
6689,AddToCart,25.35,520
7072,Purchase,29.77,513
9416,Signup,96.23,969
3733,Signup,21.23,357
2516,Signup,80.9,166
5682,Purchase,19.31,1345
328,Signup,8.52,1144
9977,Purchase,53.62,294
4911,Signup,56.55,795
8405,AddToCart,20.96,812
1355,Signup,32.12,742
2337,Signup,86.45,1056
5616,AddToCart,88.1,564
4179,Signup,65.48,176
4014,Signup,55.8,1282
5408,AddToCart,79.7,537
3119,Purchase,66.07,801
2135,AddToCart,98.71,787
4104,Purchase,63.89,936
3672,AddToCart,68.39,952
939,Signup,11.34,486
222,Purchase,77.01,331
1014,AddToCart,53.5,740
6096,AddToCart,42.11,283
9270,Purchase,66.75,748
7270,Purchase,20.97,689
7008,AddToCart,32.66,396
7470,AddToCart,42.54,385
7288,AddToCart,28.2,851
5471,Purchase,83.22,579
1644,Signup,20.22,234
2323,Signup,37.52,751
8501,Signup,85.62,483
3997,Signup,48.8,593
9746,AddToCart,51.09,171
8425,Purchase,11.07,1011
8507,Purchase,31.72,739
2095,AddToCart,85.84,811
2639,Purchase,64.49,878
6856,Signup,30.6,1182
1478,Signup,88.28,1017
2411,Purchase,91.53,380
1364,AddToCart,61.35,299
1953,AddToCart,42.66,1023
6245,Purchase,53.07,1304
3788,Purchase,72.18,380
204,Purchase,80.48,40
9576,Purchase,92.74,677
8476,Signup,37.12,133
5927,Signup,43.42,368
3428,AddToCart,86.53,447
4076,Purchase,41.46,950
3605,Signup,37.58,788
9065,Purchase,68.19,1297
6276,Signup,14.2,900
6302,AddToCart,53.52,211
8462,Signup,41.01,248
2158,Signup,62.15,200
9671,AddToCart,98.24,328
1390,Signup,81.26,625
7412,Signup,66.64,345
6554,AddToCart,5.71,170
5723,AddToCart,47.69,298
2909,AddToCart,6.13,1021
1360,Signup,29.8,1002
3323,Signup,7.61,89
4192,Signup,21.11,1083
142,AddToCart,15.6,1368
3377,Signup,47.99,1024
8684,Signup,37.67,821
4666,AddToCart,8.85,25
4433,Purchase,39.21,205
6125,Signup,83.6,418
6477,Signup,25.93,1096
3967,Purchase,79.35,629
905,AddToCart,6.47,509
7292,AddToCart,38.38,1164
3787,AddToCart,62.8,695
4533,Purchase,21.0,597
1856,AddToCart,49.44,890
1422,Signup,94.72,87
6620,AddToCart,81.09,522
3795,AddToCart,81.83,249
179,AddToCart,9.32,1053
3827,Signup,73.44,1088
3377,Purchase,35.93,980
3141,Signup,21.66,726
7250,Signup,92.38,1242
3880,Purchase,85.25,1373
3798,AddToCart,30.52,942
6642,Purchase,10.59,672
4644,Purchase,20.41,143
2890,Purchase,58.6,1259
2043,Purchase,38.48,56
1684,Signup,48.29,255
650,Purchase,50.44,680
677,Purchase,81.15,1389
5997,Purchase,21.66,115
4256,AddToCart,91.65,351
1847,Signup,31.95,1045
5889,Purchase,62.19,993
4965,Purchase,88.35,1261
5738,Purchase,37.4,1361
8418,Purchase,40.28,701
5110,AddToCart,37.79,940
7307,Purchase,17.34,180
49,AddToCart,40.02,1401
3923,Signup,36.28,913
1535,Purchase,38.66,1190
3401,AddToCart,33.54,294
5397,Purchase,56.83,19
1913,AddToCart,15.76,639
2373,AddToCart,8.18,538
972,Purchase,97.45,1277
8695,Signup,45.54,1009
1741,Signup,15.94,665
7467,Purchase,18.93,786
2736,Purchase,89.73,208
5076,Signup,80.78,435
557,Purchase,59.7,174
5659,AddToCart,5.01,379
1948,Purchase,14.9,344
4446,AddToCart,83.96,464
6295,Purchase,47.48,1024
8573,AddToCart,35.62,481
3758,AddToCart,37.6,1318
4802,AddToCart,42.59,2
2358,AddToCart,61.07,183
4197,Signup,53.67,788
5411,AddToCart,80.44,373
5541,AddToCart,41.95,806
8974,Purchase,73.3,798
3934,AddToCart,97.49,713
274,AddToCart,81.42,375
4854,AddToCart,97.96,833
4084,Purchase,87.45,1122
7486,Purchase,65.51,929
6889,Signup,9.57,1423
8237,Purchase,13.24,1322
745,AddToCart,9.95,1050
9848,AddToCart,54.97,239
9510,AddToCart,31.93,1139
2860,Signup,38.69,270
4735,Purchase,47.08,579
3321,Purchase,80.12,1424
757,AddToCart,66.7,116
2752,AddToCart,77.85,975
957,Signup,8.36,878
6427,Purchase,5.84,481
8847,Signup,74.39,709
3398,Purchase,96.07,31
1382,Purchase,59.4,816
8855,Signup,77.21,1312
4975,AddToCart,32.93,1228
9295,Purchase,21.14,414
3994,AddToCart,18.85,588
7370,AddToCart,31.26,585
8422,AddToCart,53.65,1259
8524,Purchase,97.86,335
7710,AddToCart,55.73,599
7175,Purchase,69.75,466
2284,Purchase,90.84,945
6158,Purchase,14.49,1126
4817,AddToCart,35.59,133
9296,Signup,62.94,932
7590,AddToCart,17.04,1040
9631,AddToCart,57.56,1004
5902,Purchase,19.76,783
3555,AddToCart,25.51,1367
4932,Signup,69.85,1254
8819,AddToCart,78.3,1309
3489,Purchase,63.65,100
7475,Purchase,72.32,858
6723,Signup,68.09,344
