user_id,age_group,region,device_type
255,18-24,Americas,Mobile
256,35-44,APAC,Tablet
257,18-24,EMEA,Desktop
258,55+,Americas,Tablet
259,25-34,APAC,Mobile
260,25-34,EMEA,Mobile
261,25-34,EMEA,Desktop
262,35-44,Americas,Mobile
263,55+,APAC,Desktop
264,18-24,EMEA,Desktop
265,45-54,APAC,Desktop
266,18-24,APAC,Desktop
267,45-54,EMEA,Mobile
268,18-24,APAC,Mobile
269,55+,EMEA,Mobile
270,45-54,APAC,Mobile
271,35-44,EMEA,Desktop
272,18-24,Americas,Desktop
273,18-24,EMEA,Mobile
274,45-54,EMEA,Tablet
275,35-44,EMEA,Tablet
276,35-44,APAC,Tablet
277,55+,Americas,Mobile
278,35-44,APAC,Desktop
279,35-44,APAC,Desktop
280,35-44,EMEA,Tablet
281,25-34,APAC,Tablet
282,55+,EMEA,Desktop
283,18-24,Americas,Tablet
284,45-54,APAC,Tablet
285,18-24,APAC,Desktop
286,55+,APAC,Tablet
287,45-54,EMEA,Tablet
288,55+,EMEA,Mobile
289,35-44,APAC,Tablet
290,45-54,APAC,Mobile
291,35-44,Americas,Desktop
292,18-24,Americas,Mobile
293,18-24,Americas,Desktop
294,45-54,Americas,Mobile
295,45-54,Americas,Mobile
296,55+,EMEA,Mobile
297,55+,Americas,Tablet
298,35-44,Americas,Tablet
299,45-54,APAC,Tablet
300,18-24,EMEA,Tablet
301,55+,Americas,Tablet
302,55+,Americas,Mobile
303,18-24,Americas,Tablet
304,55+,APAC,Desktop
305,35-44,APAC,Mobile
306,45-54,APAC,Mobile
307,18-24,Americas,Desktop
308,45-54,APAC,Tablet
309,55+,Americas,Desktop
310,55+,EMEA,Mobile
311,18-24,Americas,Mobile
312,35-44,APAC,Mobile
313,25-34,EMEA,Desktop
314,18-24,Americas,Tablet
315,25-34,EMEA,Mobile
316,25-34,EMEA,Tablet
317,35-44,EMEA,Mobile
318,25-34,Americas,Tablet
319,25-34,APAC,Desktop
320,35-44,Americas,Mobile
321,25-34,APAC,Mobile
322,25-34,Americas,Mobile
323,25-34,Americas,Desktop
324,18-24,Americas,Desktop
325,18-24,APAC,Tablet
326,18-24,Americas,Desktop
327,35-44,EMEA,Mobile
328,55+,Americas,Tablet
329,25-34,EMEA,Desktop
330,25-34,APAC,Tablet
331,35-44,APAC,Tablet
332,25-34,Americas,Tablet
333,18-24,Americas,Mobile
334,55+,Americas,Mobile
335,45-54,EMEA,Desktop
336,25-34,APAC,Mobile
337,18-24,EMEA,Tablet
338,45-54,EMEA,Tablet
339,55+,Americas,Mobile
340,45-54,Americas,Tablet
341,18-24,EMEA,Mobile
342,45-54,EMEA,Tablet
343,35-44,Americas,Desktop
344,45-54,Americas,Desktop
345,25-34,EMEA,Mobile
346,25-34,Americas,Mobile
347,35-44,Americas,Mobile
348,18-24,EMEA,Mobile
349,25-34,EMEA,Mobile
350,55+,APAC,Tablet
351,25-34,EMEA,Desktop
352,25-34,Americas,Tablet
353,18-24,EMEA,Desktop
354,45-54,EMEA,Tablet
355,25-34,EMEA,Tablet
356,35-44,APAC,Tablet
357,45-54,APAC,Mobile
358,55+,Americas,Desktop
359,18-24,APAC,Mobile
360,55+,EMEA,Mobile
361,45-54,APAC,Tablet
362,45-54,EMEA,Desktop
363,45-54,APAC,Desktop
364,55+,APAC,Desktop
365,45-54,APAC,Desktop
366,55+,EMEA,Mobile
367,45-54,APAC,Mobile
368,35-44,EMEA,Desktop
369,45-54,EMEA,Mobile
370,55+,Americas,Desktop
371,25-34,APAC,Mobile
372,45-54,Americas,Tablet
373,25-34,Americas,Tablet
374,35-44,EMEA,Desktop
375,18-24,APAC,Desktop
376,35-44,EMEA,Mobile
377,45-54,EMEA,Desktop
378,25-34,APAC,Desktop
379,25-34,EMEA,Mobile
380,55+,APAC,Desktop
381,25-34,APAC,Desktop
382,55+,EMEA,Tablet
383,18-24,EMEA,Tablet
384,45-54,Americas,Tablet
385,55+,EMEA,Desktop
386,18-24,APAC,Mobile
387,25-34,Americas,Tablet
388,25-34,APAC,Desktop
389,18-24,Americas,Tablet
390,25-34,EMEA,Mobile
391,18-24,EMEA,Mobile
392,55+,EMEA,Mobile
393,55+,APAC,Mobile
394,18-24,Americas,Mobile
395,55+,APAC,Mobile
396,55+,Americas,Desktop
397,55+,EMEA,Tablet
398,35-44,APAC,Mobile
399,45-54,EMEA,Tablet
400,25-34,APAC,Tablet
401,35-44,EMEA,Desktop
402,55+,APAC,Mobile
403,18-24,APAC,Mobile
404,55+,Americas,Desktop
405,45-54,EMEA,Desktop
406,55+,Americas,Desktop
407,18-24,Americas,Desktop
408,45-54,EMEA,Desktop
409,55+,APAC,Tablet
410,45-54,Americas,Desktop
411,25-34,EMEA,Mobile
412,25-34,APAC,Mobile
413,55+,Americas,Desktop
414,45-54,Americas,Desktop
415,18-24,Americas,Desktop
416,55+,APAC,Desktop
417,25-34,Americas,Desktop
418,25-34,APAC,Mobile
419,55+,Americas,Tablet
420,45-54,EMEA,Desktop
421,25-34,Americas,Desktop
422,45-54,EMEA,Desktop
423,25-34,EMEA,Mobile
424,25-34,EMEA,Mobile
425,35-44,APAC,Tablet
426,25-34,EMEA,Tablet
427,18-24,Americas,Tablet
428,55+,APAC,Tablet
429,55+,EMEA,Mobile
430,45-54,APAC,Tablet
431,25-34,APAC,Desktop
432,18-24,APAC,Mobile
433,45-54,Americas,Mobile
434,35-44,EMEA,Mobile
435,45-54,APAC,Desktop
436,45-54,APAC,Mobile
437,25-34,APAC,Desktop
438,35-44,EMEA,Tablet
439,45-54,APAC,Mobile
440,18-24,APAC,Desktop
441,18-24,Americas,Mobile
442,55+,EMEA,Tablet
443,35-44,Americas,Mobile
444,35-44,EMEA,Tablet
445,55+,EMEA,Mobile
446,45-54,EMEA,Desktop
447,35-44,Americas,Tablet
448,18-24,Americas,Mobile
449,18-24,Americas,Tablet
450,25-34,Americas,Tablet
451,35-44,APAC,Desktop
452,45-54,APAC,Desktop
453,55+,APAC,Desktop
454,55+,EMEA,Desktop
455,45-54,APAC,Tablet
456,25-34,EMEA,Tablet
457,55+,Americas,Mobile
458,35-44,EMEA,Mobile
459,25-34,EMEA,Mobile
460,35-44,APAC,Desktop
461,18-24,Americas,Tablet
462,25-34,Americas,Tablet
463,55+,APAC,Mobile
464,25-34,Americas,Mobile
465,25-34,Americas,Tablet
466,25-34,Americas,Desktop
467,25-34,APAC,Mobile
468,35-44,Americas,Mobile
469,18-24,EMEA,Tablet
470,45-54,EMEA,Tablet
471,25-34,Americas,Mobile
472,55+,APAC,Mobile
473,25-34,APAC,Desktop
474,55+,APAC,Desktop
475,35-44,Americas,Desktop
476,55+,Americas,Desktop
477,45-54,EMEA,Mobile
478,18-24,APAC,Mobile
479,55+,EMEA,Mobile
480,55+,EMEA,Desktop
481,18-24,APAC,Mobile
482,45-54,Americas,Tablet
483,25-34,Americas,Desktop
484,55+,EMEA,Tablet
485,18-24,EMEA,Desktop
486,35-44,EMEA,Mobile
487,18-24,EMEA,Desktop
488,35-44,APAC,Tablet
489,45-54,EMEA,Desktop
490,25-34,EMEA,Tablet
491,18-24,Americas,Mobile
492,55+,Americas,Tablet
493,45-54,Americas,Mobile
494,18-24,APAC,Tablet
495,55+,APAC,Mobile
496,18-24,Americas,Tablet
497,35-44,Americas,Mobile
498,18-24,EMEA,Mobile
499,18-24,EMEA,Mobile
500,18-24,APAC,Tablet
501,45-54,APAC,Tablet
502,18-24,EMEA,Mobile
503,55+,Americas,Desktop
504,35-44,EMEA,Mobile
505,35-44,APAC,Desktop
506,18-24,APAC,Mobile
507,45-54,EMEA,Tablet
508,45-54,EMEA,Desktop
509,55+,EMEA,Tablet
510,18-24,APAC,Desktop
511,35-44,Americas,Desktop
512,45-54,EMEA,Desktop
513,18-24,APAC,Desktop
514,45-54,APAC,Tablet
515,45-54,APAC,Desktop
516,35-44,EMEA,Mobile
517,25-34,EMEA,Mobile
518,55+,Americas,Desktop
519,55+,APAC,Tablet
520,35-44,EMEA,Tablet
521,45-54,APAC,Desktop
522,18-24,APAC,Tablet
523,45-54,Americas,Tablet
524,35-44,EMEA,Tablet
525,55+,EMEA,Desktop
526,45-54,APAC,Mobile
527,55+,APAC,Mobile
528,18-24,Americas,Mobile
529,55+,Americas,Mobile
530,55+,Americas,Mobile
531,25-34,Americas,Tablet
532,25-34,Americas,Tablet
533,25-34,Americas,Tablet
534,55+,APAC,Desktop
535,35-44,Americas,Tablet
536,55+,APAC,Mobile
537,35-44,APAC,Tablet
538,35-44,EMEA,Mobile
539,25-34,APAC,Tablet
540,45-54,APAC,Mobile
541,18-24,Americas,Tablet
542,25-34,APAC,Mobile
543,25-34,Americas,Mobile
544,45-54,Americas,Desktop
545,18-24,Americas,Tablet
546,55+,EMEA,Mobile
547,55+,Americas,Tablet
548,25-34,APAC,Mobile
549,18-24,Americas,Desktop
550,25-34,Americas,Desktop
551,35-44,Americas,Desktop
552,25-34,EMEA,Desktop
553,25-34,APAC,Mobile
554,55+,EMEA,Tablet
555,55+,APAC,Desktop
556,55+,EMEA,Desktop
557,35-44,APAC,Desktop
558,55+,EMEA,Tablet
559,18-24,Americas,Mobile
560,45-54,EMEA,Mobile
561,18-24,EMEA,Mobile
562,18-24,Americas,Mobile
563,55+,Americas,Tablet
564,45-54,APAC,Tablet
565,45-54,APAC,Tablet
566,45-54,APAC,Desktop
567,35-44,EMEA,Tablet
568,55+,APAC,Mobile
569,45-54,EMEA,Tablet
570,35-44,EMEA,Desktop
571,25-34,APAC,Mobile
572,25-34,APAC,Tablet
573,35-44,EMEA,Mobile
574,35-44,Americas,Mobile
575,55+,Americas,Tablet
576,55+,EMEA,Tablet
577,25-34,APAC,Desktop
578,45-54,EMEA,Tablet
579,25-34,EMEA,Tablet
580,45-54,APAC,Tablet
581,45-54,Americas,Mobile
582,55+,EMEA,Desktop
583,18-24,Americas,Mobile
584,18-24,Americas,Tablet
585,35-44,APAC,Desktop
586,55+,EMEA,Tablet
587,45-54,EMEA,Mobile
588,18-24,Americas,Mobile
589,45-54,Americas,Tablet
590,18-24,APAC,Desktop
591,18-24,Americas,Mobile
592,18-24,APAC,Tablet
593,55+,EMEA,Tablet
594,25-34,APAC,Tablet
595,45-54,Americas,Desktop
596,55+,EMEA,Tablet
597,55+,APAC,Tablet
598,55+,EMEA,Mobile
599,55+,APAC,Tablet
600,55+,Americas,Desktop
601,35-44,Americas,Tablet
602,45-54,EMEA,Desktop
603,55+,EMEA,Tablet
604,45-54,EMEA,Tablet
605,35-44,APAC,Tablet
606,35-44,Americas,Desktop
607,45-54,EMEA,Mobile
608,18-24,EMEA,Desktop
609,25-34,EMEA,Mobile
610,18-24,APAC,Desktop
611,18-24,EMEA,Tablet
612,18-24,EMEA,Tablet
613,55+,APAC,Mobile
614,35-44,APAC,Mobile
615,18-24,EMEA,Desktop
616,35-44,EMEA,Desktop
617,45-54,APAC,Mobile
618,25-34,Americas,Mobile
619,45-54,APAC,Desktop
620,45-54,Americas,Mobile
621,55+,EMEA,Mobile
622,25-34,EMEA,Mobile
623,45-54,Americas,Mobile
624,45-54,APAC,Tablet
625,25-34,EMEA,Tablet
626,25-34,Americas,Mobile
627,45-54,APAC,Desktop
628,25-34,Americas,Tablet
629,45-54,APAC,Desktop
630,45-54,APAC,Desktop
631,55+,APAC,Tablet
632,18-24,APAC,Desktop
633,45-54,Americas,Desktop
634,35-44,Americas,Mobile
635,18-24,Americas,Mobile
636,18-24,Americas,Mobile
637,18-24,Americas,Tablet
638,55+,APAC,Mobile
639,45-54,EMEA,Desktop
640,55+,EMEA,Desktop
641,45-54,Americas,Desktop
642,55+,Americas,Desktop
643,55+,EMEA,Desktop
644,35-44,APAC,Tablet
645,55+,Americas,Desktop
646,25-34,APAC,Tablet
647,35-44,EMEA,Desktop
648,55+,EMEA,Tablet
649,18-24,Americas,Tablet
650,25-34,APAC,Desktop
651,25-34,Americas,Desktop
652,25-34,EMEA,Desktop
653,35-44,APAC,Desktop
654,55+,Americas,Mobile
655,55+,Americas,Mobile
656,18-24,Americas,Tablet
657,18-24,EMEA,Tablet
658,25-34,Americas,Mobile
659,18-24,APAC,Tablet
660,35-44,Americas,Desktop
661,55+,EMEA,Tablet
662,25-34,Americas,Tablet
663,18-24,EMEA,Tablet
664,35-44,EMEA,Mobile
665,35-44,APAC,Mobile
666,18-24,APAC,Tablet
667,55+,Americas,Desktop
668,18-24,EMEA,Tablet
669,25-34,EMEA,Mobile
670,18-24,APAC,Desktop
671,35-44,APAC,Tablet
672,18-24,Americas,Mobile
673,55+,EMEA,Desktop
674,45-54,APAC,Tablet
675,18-24,Americas,Mobile
676,55+,EMEA,Desktop
677,55+,EMEA,Tablet
678,35-44,APAC,Desktop
679,55+,Americas,Desktop
680,55+,APAC,Desktop
681,55+,Americas,Mobile
682,55+,EMEA,Tablet
683,25-34,Americas,Desktop
684,25-34,Americas,Desktop
685,35-44,Americas,Desktop
686,18-24,Americas,Mobile
687,55+,Americas,Desktop
688,18-24,APAC,Mobile
689,18-24,Americas,Mobile
690,35-44,Americas,Desktop
691,55+,EMEA,Desktop
692,55+,Americas,Mobile
693,45-54,EMEA,Mobile
694,18-24,APAC,Desktop
695,18-24,APAC,Mobile
696,25-34,Americas,Mobile
697,45-54,APAC,Desktop
698,25-34,Americas,Desktop
699,25-34,APAC,Tablet
700,25-34,Americas,Desktop
701,35-44,Americas,Desktop
702,35-44,EMEA,Desktop
703,25-34,EMEA,Tablet
704,45-54,EMEA,Mobile
705,18-24,EMEA,Desktop
706,45-54,Americas,Desktop
707,55+,APAC,Tablet
708,35-44,Americas,Tablet
709,18-24,EMEA,Tablet
710,18-24,EMEA,Mobile
711,55+,APAC,Tablet
712,55+,EMEA,Mobile
713,25-34,Americas,Desktop
714,35-44,Americas,Desktop
715,35-44,Americas,Desktop
716,45-54,Americas,Tablet
717,25-34,Americas,Desktop
718,25-34,APAC,Tablet
719,25-34,Americas,Mobile
720,25-34,EMEA,Desktop
721,35-44,EMEA,Mobile
722,35-44,EMEA,Tablet
723,25-34,EMEA,Tablet
724,45-54,APAC,Desktop
725,18-24,EMEA,Desktop
726,18-24,APAC,Tablet
727,45-54,EMEA,Desktop
728,25-34,APAC,Desktop
729,35-44,APAC,Mobile
730,18-24,APAC,Tablet
731,55+,EMEA,Mobile
732,55+,APAC,Desktop
733,45-54,Americas,Mobile
734,25-34,Americas,Tablet
735,18-24,EMEA,Mobile
736,25-34,Americas,Mobile
737,18-24,Americas,Desktop
738,45-54,Americas,Tablet
739,45-54,EMEA,Desktop
740,55+,EMEA,Desktop
741,25-34,Americas,Tablet
742,55+,EMEA,Mobile
743,25-34,APAC,Desktop
744,55+,Americas,Mobile
745,35-44,EMEA,Tablet
746,35-44,EMEA,Desktop
747,35-44,Americas,Mobile
748,35-44,EMEA,Mobile
749,18-24,Americas,Desktop
750,35-44,EMEA,Tablet
751,45-54,APAC,Mobile
752,45-54,Americas,Tablet
753,18-24,APAC,Desktop
754,35-44,Americas,Mobile
755,35-44,EMEA,Mobile
756,35-44,APAC,Mobile
757,55+,EMEA,Tablet
758,25-34,Americas,Mobile
759,55+,Americas,Mobile
760,25-34,Americas,Desktop
761,35-44,Americas,Mobile
762,35-44,Americas,Tablet
763,55+,APAC,Desktop
764,55+,Americas,Desktop
765,25-34,EMEA,Mobile
766,45-54,APAC,Desktop
767,25-34,EMEA,Mobile
768,55+,Americas,Desktop
769,55+,EMEA,Tablet
770,18-24,APAC,Mobile
771,55+,APAC,Tablet
772,18-24,APAC,Mobile
773,45-54,EMEA,Tablet
774,25-34,APAC,Tablet
775,25-34,EMEA,Desktop
776,18-24,Americas,Mobile
777,25-34,Americas,Desktop
778,55+,EMEA,Tablet
779,35-44,APAC,Mobile
780,18-24,EMEA,Tablet
781,25-34,EMEA,Tablet
782,18-24,EMEA,Tablet
783,18-24,Americas,Tablet
784,35-44,EMEA,Desktop
785,55+,Americas,Tablet
786,18-24,EMEA,Desktop
787,25-34,Americas,Tablet
788,45-54,EMEA,Mobile
789,18-24,EMEA,Tablet
790,18-24,APAC,Tablet
791,35-44,APAC,Mobile
792,55+,EMEA,Mobile
793,45-54,EMEA,Tablet
794,25-34,EMEA,Tablet
795,45-54,EMEA,Desktop
796,25-34,APAC,Mobile
797,55+,Americas,Mobile
798,25-34,EMEA,Desktop
799,35-44,APAC,Tablet
800,35-44,EMEA,Tablet
801,35-44,EMEA,Mobile
802,35-44,Americas,Desktop
803,45-54,EMEA,Tablet
804,55+,EMEA,Mobile
805,25-34,Americas,Tablet
806,25-34,Americas,Tablet
807,35-44,Americas,Tablet
808,35-44,Americas,Mobile
809,18-24,APAC,Desktop
810,55+,APAC,Desktop
811,45-54,APAC,Tablet
812,25-34,EMEA,Desktop
813,18-24,Americas,Tablet
814,18-24,Americas,Mobile
815,25-34,APAC,Mobile
816,45-54,EMEA,Mobile
817,18-24,EMEA,Tablet
818,18-24,EMEA,Desktop
819,55+,APAC,Mobile
820,45-54,EMEA,Tablet
821,18-24,EMEA,Desktop
822,45-54,EMEA,Desktop
823,25-34,Americas,Desktop
824,35-44,APAC,Tablet
825,18-24,Americas,Tablet
826,55+,Americas,Tablet
827,25-34,APAC,Mobile
828,45-54,Americas,Tablet
829,25-34,EMEA,Mobile
830,18-24,EMEA,Mobile
831,45-54,EMEA,Mobile
832,35-44,EMEA,Tablet
833,25-34,APAC,Mobile
834,18-24,Americas,Tablet
835,55+,Americas,Tablet
836,45-54,EMEA,Mobile
837,25-34,EMEA,Mobile
838,25-34,Americas,Mobile
839,35-44,APAC,Tablet
840,35-44,Americas,Tablet
841,55+,EMEA,Mobile
842,55+,EMEA,Mobile
843,18-24,APAC,Desktop
844,18-24,Americas,Mobile
845,55+,APAC,Desktop
846,55+,APAC,Desktop
847,45-54,EMEA,Tablet
848,35-44,Americas,Tablet
849,18-24,EMEA,Desktop
850,35-44,Americas,Desktop
851,35-44,EMEA,Mobile
852,55+,EMEA,Desktop
853,45-54,Americas,Mobile
854,25-34,Americas,Tablet
855,45-54,EMEA,Mobile
856,45-54,Americas,Tablet
857,35-44,EMEA,Desktop
858,45-54,Americas,Desktop
859,18-24,EMEA,Desktop
860,35-44,EMEA,Mobile
861,18-24,EMEA,Tablet
862,25-34,APAC,Tablet
863,35-44,Americas,Tablet
864,25-34,EMEA,Tablet
865,35-44,APAC,Tablet
866,55+,EMEA,Mobile
867,45-54,APAC,Tablet
868,55+,EMEA,Desktop
869,25-34,EMEA,Tablet
870,45-54,APAC,Desktop
871,35-44,APAC,Mobile
872,45-54,Americas,Mobile
873,18-24,Americas,Desktop
874,45-54,APAC,Tablet
875,18-24,Americas,Mobile
876,45-54,APAC,Mobile
877,18-24,Americas,Mobile
878,25-34,EMEA,Tablet
879,55+,Americas,Desktop
880,35-44,EMEA,Desktop
881,45-54,EMEA,Tablet
882,55+,Americas,Mobile
883,35-44,APAC,Tablet
884,35-44,EMEA,Tablet
885,18-24,EMEA,Desktop
886,25-34,Americas,Tablet
887,25-34,APAC,Tablet
888,55+,APAC,Mobile
889,25-34,Americas,Mobile
890,45-54,APAC,Desktop
891,25-34,Americas,Mobile
892,55+,Americas,Tablet
893,25-34,Americas,Tablet
894,45-54,EMEA,Tablet
895,18-24,EMEA,Desktop
896,55+,EMEA,Mobile
897,18-24,Americas,Tablet
898,18-24,EMEA,Mobile
899,18-24,EMEA,Mobile
900,35-44,EMEA,Mobile
901,35-44,Americas,Mobile
902,18-24,Americas,Desktop
903,55+,Americas,Desktop
904,45-54,EMEA,Desktop
905,45-54,APAC,Tablet
906,25-34,EMEA,Tablet
907,55+,EMEA,Tablet
908,35-44,Americas,Desktop
909,18-24,Americas,Mobile
910,25-34,EMEA,Desktop
911,45-54,EMEA,Tablet
912,35-44,APAC,Tablet
913,35-44,APAC,Mobile
914,18-24,Americas,Desktop
915,45-54,APAC,Mobile
916,55+,APAC,Desktop
917,35-44,Americas,Tablet
918,18-24,APAC,Mobile
919,55+,EMEA,Mobile
920,45-54,APAC,Desktop
921,35-44,Americas,Desktop
922,55+,EMEA,Desktop
